sale_id,date,customer_id,product_id,category,quantity,unit_price,discount,total_amount,payment_method,store_location
SALE-000001,2026-02-26 14:19:52,CUS-001881,PROD-0874,Hogar,1,554.62,0.0,554.62,Tarjeta CMR,Lima Centro
SALE-000002,2026-01-21 03:10:46,CUS-005350,PROD-0484,Hogar,1,79.42,0.15,67.51,App Fpay,Lima Centro
SALE-000003,2026-02-17 17:11:53,CUS-001216,PROD-0241,Calzado,1,528.73,0.0,528.73,App Fpay,San Isidro
SALE-000004,2026-03-27 01:24:35,CUS-006506,PROD-0610,Moda,1,86.23,0.0,86.23,Tarjeta CMR,Online
SALE-000005,2026-02-07 05:44:24,CUS-000904,PROD-0221,Moda,1,228.93,0.0,228.93,Tarjeta CMR,Online
SALE-000006,2026-04-25 21:43:20,CUS-007321,PROD-0178,Electrohogar,1,2559.97,0.15,2175.97,Tarjeta CMR,San Isidro
SALE-000007,2026-03-14 08:17:35,CUS-003648,PROD-0775,Moda,1,188.17,0.0,188.17,Tarjeta CMR,Online
SALE-000008,2026-03-14 06:54:13,CUS-006082,PROD-0995,Moda,1,189.14,0.0,189.14,Débito,San Isidro
SALE-000009,2026-04-28 17:20:52,CUS-002895,PROD-0629,Moda,1,47.15,0.0,47.15,Efectivo,Miraflores
SALE-000010,2026-03-14 19:43:23,CUS-005865,PROD-0218,Tecnología,1,4526.64,0.0,4526.64,App Fpay,Miraflores
SALE-000011,2026-04-23 09:46:21,CUS-001649,PROD-0100,Moda,1,244.17,0.0,244.17,Débito,Miraflores
SALE-000012,2026-04-19 03:30:09,CUS-005660,PROD-0023,Hogar,2,1112.59,0.0,2225.18,Débito,Miraflores
SALE-000013,2026-01-14 16:31:26,CUS-002365,PROD-0790,Tecnología,1,5655.67,0.0,5655.67,Débito,Miraflores
SALE-000014,2026-03-24 01:34:17,CUS-002366,PROD-0288,Hogar,3,830.17,0.0,2490.51,Efectivo,Miraflores
SALE-000015,2026-04-03 17:43:55,CUS-008558,PROD-0302,Electrohogar,1,2343.95,0.0,2343.95,Tarjeta CMR,Online
SALE-000016,2026-03-29 12:12:09,CUS-002611,PROD-0151,Moda,1,305.45,0.0,305.45,Tarjeta CMR,Miraflores
SALE-000017,2026-01-13 23:40:31,CUS-009584,PROD-0595,Tecnología,3,463.78,0.0,1391.34,App Fpay,San Isidro
SALE-000018,2026-04-16 20:00:35,CUS-009404,PROD-0118,Electrohogar,3,3245.85,0.15,8276.92,App Fpay,Lima Centro
SALE-000019,2026-05-10 22:23:18,CUS-006927,PROD-0707,Hogar,2,973.26,0.0,1946.52,App Fpay,Lima Centro
SALE-000020,2026-02-22 07:13:05,CUS-005838,PROD-0823,Tecnología,1,5334.85,0.0,5334.85,Tarjeta CMR,San Isidro
SALE-000021,2026-01-12 09:30:45,CUS-009603,PROD-0485,Electrohogar,1,3996.7,0.0,3996.7,Tarjeta CMR,Lima Centro
SALE-000022,2026-04-10 18:37:26,CUS-003653,PROD-0650,Hogar,3,809.69,0.0,2429.07,Efectivo,Lima Centro
SALE-000023,2026-01-02 10:33:56,CUS-006042,PROD-0792,Electrohogar,1,2716.9,0.0,2716.9,Tarjeta CMR,Lima Centro
SALE-000024,2026-02-23 11:46:25,CUS-002364,PROD-0632,Hogar,1,188.69,0.0,188.69,Tarjeta CMR,Miraflores
SALE-000025,2026-03-12 02:49:46,CUS-003165,PROD-0645,Hogar,1,280.05,0.0,280.05,App Fpay,Miraflores
SALE-000026,2026-03-14 10:12:43,CUS-001716,PROD-1000,Hogar,4,300.15,0.0,1200.6,App Fpay,Online
SALE-000027,2026-01-03 13:29:46,CUS-000826,PROD-0498,Calzado,1,410.5,0.0,410.5,Tarjeta CMR,Online
SALE-000028,2026-02-01 13:00:04,CUS-008364,PROD-0641,Electrohogar,2,2609.9,0.0,5219.8,Débito,Lima Centro
SALE-000029,2026-03-19 18:01:14,CUS-001141,PROD-0935,Moda,1,173.29,0.15,147.3,Débito,Lima Centro
SALE-000030,2026-04-07 03:24:03,CUS-006145,PROD-0824,Hogar,1,337.64,0.0,337.64,Efectivo,Online
SALE-000031,2026-03-02 18:45:28,CUS-000398,PROD-0153,Hogar,1,976.55,0.0,976.55,Efectivo,Online
SALE-000032,2026-05-03 07:45:52,CUS-008844,PROD-0876,Tecnología,1,2968.76,0.0,2968.76,App Fpay,Online
SALE-000033,2026-05-06 15:37:29,CUS-006197,PROD-0157,Hogar,1,847.28,0.0,847.28,Débito,Online
SALE-000034,2026-04-30 15:53:49,CUS-009539,PROD-0638,Hogar,1,976.99,0.0,976.99,Débito,Lima Centro
SALE-000035,2026-03-03 07:08:41,CUS-009391,PROD-0593,Calzado,4,479.27,0.15,1629.52,Débito,Online
SALE-000036,2026-02-12 00:54:04,CUS-000049,PROD-0774,Tecnología,1,2486.52,0.0,2486.52,Efectivo,San Isidro
SALE-000037,2026-02-01 11:41:17,CUS-006988,PROD-0847,Moda,1,334.35,0.15,284.2,Débito,Miraflores
SALE-000038,2026-02-08 03:44:25,CUS-008813,PROD-0206,Calzado,1,287.71,0.0,287.71,Tarjeta CMR,Lima Centro
SALE-000039,2026-04-05 10:50:10,CUS-001446,PROD-0892,Moda,1,96.92,0.15,82.38,App Fpay,Miraflores
SALE-000040,2026-04-08 07:02:35,CUS-000901,PROD-0448,Calzado,1,488.66,0.0,488.66,Débito,Lima Centro
SALE-000041,2026-03-25 01:24:43,CUS-006950,PROD-0996,Calzado,1,104.48,0.0,104.48,Débito,San Isidro
SALE-000042,2026-03-12 01:20:33,CUS-003894,PROD-0544,Electrohogar,1,3071.68,0.0,3071.68,Tarjeta CMR,San Isidro
SALE-000043,2026-01-08 16:59:40,CUS-006465,PROD-0049,Calzado,1,156.11,0.0,156.11,Débito,Lima Centro
SALE-000044,2026-03-02 00:07:32,CUS-000638,PROD-0504,Moda,1,38.96,0.0,38.96,Efectivo,Lima Centro
SALE-000045,2026-03-05 11:18:30,CUS-009041,PROD-0807,Electrohogar,1,2700.35,0.15,2295.3,Débito,Miraflores
SALE-000046,2026-04-29 18:25:39,CUS-003474,PROD-0655,Moda,1,306.99,0.0,306.99,Débito,San Isidro
SALE-000047,2026-01-07 08:45:08,CUS-009474,PROD-0017,Moda,1,145.7,0.15,123.84,Débito,Lima Centro
SALE-000048,2026-04-27 22:48:20,CUS-005431,PROD-0016,Hogar,3,381.16,0.0,1143.48,Efectivo,Online
SALE-000049,2026-01-22 20:06:18,CUS-009520,PROD-0571,Calzado,1,254.79,0.0,254.79,Tarjeta CMR,Miraflores
SALE-000050,2026-01-16 18:32:35,CUS-005479,PROD-0914,Calzado,2,226.87,0.0,453.74,App Fpay,Miraflores
SALE-000051,2026-05-05 23:14:53,CUS-009083,PROD-0519,Tecnología,1,4437.83,0.0,4437.83,App Fpay,Online
SALE-000052,2026-04-06 00:12:51,CUS-000044,PROD-0416,Moda,4,303.18,0.15,1030.81,App Fpay,Lima Centro
SALE-000053,2026-02-11 03:11:32,CUS-005802,PROD-0631,Calzado,1,339.14,0.0,339.14,Débito,San Isidro
SALE-000054,2026-01-21 22:42:53,CUS-008141,PROD-0947,Calzado,1,272.23,0.0,272.23,Efectivo,Online
SALE-000055,2026-02-22 19:54:49,CUS-000514,PROD-0173,Electrohogar,1,3889.24,0.0,3889.24,App Fpay,Lima Centro
SALE-000056,2026-03-19 15:56:06,CUS-002211,PROD-0336,Tecnología,2,3768.11,0.0,7536.22,Tarjeta CMR,Miraflores
SALE-000057,2026-04-23 08:11:46,CUS-003011,PROD-0048,Electrohogar,1,1278.35,0.0,1278.35,Tarjeta CMR,San Isidro
SALE-000058,2026-01-20 22:49:29,CUS-000387,PROD-0988,Electrohogar,1,2599.47,0.0,2599.47,Tarjeta CMR,Online
SALE-000059,2026-03-21 12:08:21,CUS-003938,PROD-0073,Tecnología,2,3148.53,0.15,5352.5,Débito,San Isidro
SALE-000060,2026-04-08 02:25:35,CUS-000745,PROD-0069,Moda,4,248.18,0.0,992.72,Débito,Lima Centro
SALE-000061,2026-03-13 07:19:44,CUS-003325,PROD-0673,Electrohogar,2,2243.45,0.0,4486.9,Tarjeta CMR,Miraflores
SALE-000062,2026-02-01 05:53:05,CUS-008909,PROD-0603,Tecnología,3,393.41,0.0,1180.23,App Fpay,Online
SALE-000063,2026-03-09 22:18:35,CUS-005320,PROD-0167,Electrohogar,2,1067.57,0.15,1814.87,App Fpay,Miraflores
SALE-000064,2026-03-17 03:37:29,CUS-008057,PROD-0678,Moda,1,52.34,0.0,52.34,Efectivo,Miraflores
SALE-000065,2026-04-13 15:01:43,CUS-006168,PROD-0260,Tecnología,2,1092.55,0.0,2185.1,Efectivo,San Isidro
SALE-000066,2026-03-18 19:29:55,CUS-006368,PROD-0796,Electrohogar,1,781.52,0.0,781.52,Efectivo,Online
SALE-000067,2026-04-21 20:59:16,CUS-006173,PROD-0730,Moda,1,54.61,0.0,54.61,Efectivo,Lima Centro
SALE-000068,2026-04-30 08:24:36,CUS-005103,PROD-0961,Calzado,1,351.33,0.0,351.33,Efectivo,Miraflores
SALE-000069,2026-01-24 21:22:59,CUS-000281,PROD-0597,Hogar,2,1182.7,0.0,2365.4,Débito,San Isidro
SALE-000070,2026-02-24 01:18:19,CUS-008223,PROD-0307,Calzado,2,373.48,0.15,634.92,Efectivo,San Isidro
SALE-000071,2026-04-01 22:03:32,CUS-007669,PROD-0864,Electrohogar,2,2459.83,0.15,4181.71,App Fpay,Miraflores
SALE-000072,2026-02-08 18:38:47,CUS-002534,PROD-0821,Moda,1,196.54,0.0,196.54,Débito,Lima Centro
SALE-000073,2026-01-05 18:18:26,CUS-004757,PROD-0542,Hogar,1,1034.2,0.0,1034.2,Efectivo,Lima Centro
SALE-000074,2026-03-14 16:52:38,CUS-006172,PROD-0591,Electrohogar,1,2458.17,0.0,2458.17,Débito,Online
SALE-000075,2026-04-10 23:25:06,CUS-001960,PROD-0064,Tecnología,2,2756.84,0.15,4686.63,Efectivo,Lima Centro
SALE-000076,2026-03-19 19:50:12,CUS-006034,PROD-0571,Calzado,1,254.79,0.0,254.79,App Fpay,San Isidro
SALE-000077,2026-03-20 22:14:37,CUS-006603,PROD-0431,Electrohogar,1,3074.58,0.0,3074.58,Débito,Miraflores
SALE-000078,2026-05-10 19:09:57,CUS-000372,PROD-0860,Calzado,1,358.0,0.0,358.0,Efectivo,San Isidro
SALE-000079,2026-01-09 00:00:19,CUS-009477,PROD-0721,Hogar,2,911.77,0.15,1550.01,Tarjeta CMR,Online
SALE-000080,2026-01-30 08:23:57,CUS-007988,PROD-0473,Moda,1,280.13,0.15,238.11,Débito,Online
SALE-000081,2026-04-27 01:11:46,CUS-002283,PROD-0192,Tecnología,1,1344.72,0.0,1344.72,App Fpay,San Isidro
SALE-000082,2026-02-20 09:00:37,CUS-000396,PROD-0405,Calzado,1,593.1,0.0,593.1,Efectivo,Lima Centro
SALE-000083,2026-05-03 15:27:24,CUS-000494,PROD-0841,Moda,1,53.09,0.0,53.09,App Fpay,Online
SALE-000084,2026-05-10 05:08:21,CUS-001404,PROD-0724,Electrohogar,2,4010.39,0.0,8020.78,Tarjeta CMR,Lima Centro
SALE-000085,2026-04-23 17:23:09,CUS-000937,PROD-0599,Electrohogar,4,4085.62,0.0,16342.48,Débito,Miraflores
SALE-000086,2026-03-13 22:37:57,CUS-000485,PROD-0950,Calzado,3,219.79,0.0,659.37,Efectivo,San Isidro
SALE-000087,2026-02-08 09:52:27,CUS-009685,PROD-0733,Tecnología,1,4093.99,0.0,4093.99,Tarjeta CMR,Online
SALE-000088,2026-03-04 11:41:42,CUS-005921,PROD-0317,Calzado,1,439.04,0.0,439.04,App Fpay,San Isidro
SALE-000089,2026-02-15 22:53:10,CUS-007122,PROD-0713,Moda,4,138.31,0.15,470.25,Efectivo,Online
SALE-000090,2026-02-12 13:02:12,CUS-000480,PROD-0108,Electrohogar,2,2146.57,0.0,4293.14,Efectivo,Online
SALE-000091,2026-01-31 17:14:11,CUS-003144,PROD-0987,Moda,1,209.43,0.0,209.43,Débito,Miraflores
SALE-000092,2026-04-29 06:28:18,CUS-008067,PROD-0495,Hogar,2,210.51,0.0,421.02,Débito,Miraflores
SALE-000093,2026-02-18 18:23:52,CUS-002809,PROD-0685,Electrohogar,1,1125.96,0.0,1125.96,Tarjeta CMR,Lima Centro
SALE-000094,2026-02-08 13:13:08,CUS-001840,PROD-0119,Hogar,3,822.46,0.0,2467.38,App Fpay,Lima Centro
SALE-000095,2026-02-11 14:20:25,CUS-008378,PROD-0494,Calzado,1,242.05,0.0,242.05,App Fpay,San Isidro
SALE-000096,2026-04-06 16:29:11,CUS-004582,PROD-0291,Calzado,2,95.86,0.15,162.96,Tarjeta CMR,Online
SALE-000097,2026-04-10 19:49:34,CUS-006704,PROD-0742,Tecnología,1,1336.46,0.0,1336.46,App Fpay,Online
SALE-000098,2026-01-11 14:31:34,CUS-005160,PROD-0558,Electrohogar,1,2086.17,0.15,1773.24,App Fpay,Online
SALE-000099,2026-01-30 20:27:33,CUS-007612,PROD-0700,Electrohogar,1,1656.46,0.0,1656.46,Tarjeta CMR,San Isidro
SALE-000100,2026-02-25 11:11:02,CUS-004074,PROD-0853,Moda,3,53.94,0.0,161.82,Efectivo,Online
SALE-000101,2026-01-24 15:56:25,CUS-001362,PROD-0735,Hogar,1,1064.63,0.0,1064.63,Débito,San Isidro
SALE-000102,2026-02-18 10:05:53,CUS-004300,PROD-0563,Moda,1,205.52,0.0,205.52,Efectivo,San Isidro
SALE-000103,2026-03-09 07:33:43,CUS-004302,PROD-0865,Hogar,1,1044.59,0.0,1044.59,App Fpay,Online
SALE-000104,2026-04-20 03:23:14,CUS-001653,PROD-0201,Electrohogar,1,1780.14,0.0,1780.14,Débito,San Isidro
SALE-000105,2026-04-24 02:08:39,CUS-007810,PROD-0586,Electrohogar,1,2972.52,0.0,2972.52,Efectivo,Online
SALE-000106,2026-04-02 07:34:21,CUS-001773,PROD-0123,Moda,1,121.95,0.0,121.95,App Fpay,Miraflores
SALE-000107,2026-01-20 07:12:51,CUS-003239,PROD-0076,Tecnología,1,4601.17,0.0,4601.17,App Fpay,Miraflores
SALE-000108,2026-04-07 13:26:19,CUS-009246,PROD-0039,Calzado,1,345.86,0.15,293.98,Tarjeta CMR,Miraflores
SALE-000109,2026-04-28 19:12:59,CUS-003807,PROD-0079,Tecnología,1,3490.12,0.0,3490.12,Tarjeta CMR,Online
SALE-000110,2026-04-19 18:50:03,CUS-003846,PROD-0492,Hogar,2,816.55,0.15,1388.13,App Fpay,Miraflores
SALE-000111,2026-03-17 17:42:15,CUS-002706,PROD-0432,Tecnología,1,6144.41,0.0,6144.41,Débito,San Isidro
SALE-000112,2026-05-07 00:18:42,CUS-000208,PROD-0140,Moda,3,73.51,0.0,220.53,Débito,Online
SALE-000113,2026-03-03 13:29:13,CUS-000998,PROD-0184,Electrohogar,1,2024.79,0.0,2024.79,Débito,Lima Centro
SALE-000114,2026-04-27 21:28:45,CUS-001168,PROD-0746,Tecnología,1,6926.63,0.0,6926.63,Tarjeta CMR,Miraflores
SALE-000115,2026-03-14 01:49:14,CUS-000344,PROD-0618,Tecnología,1,1585.71,0.15,1347.85,App Fpay,San Isidro
SALE-000116,2026-02-04 02:51:51,CUS-009821,PROD-0417,Tecnología,1,4002.65,0.0,4002.65,App Fpay,Lima Centro
SALE-000117,2026-04-04 02:27:33,CUS-005935,PROD-0220,Tecnología,1,5577.06,0.0,5577.06,Tarjeta CMR,Online
SALE-000118,2026-02-23 09:42:32,CUS-003907,PROD-0695,Tecnología,1,1456.48,0.0,1456.48,Débito,Miraflores
SALE-000119,2026-04-15 06:06:26,CUS-003482,PROD-0030,Calzado,2,430.64,0.15,732.09,Efectivo,Online
