product_id,product_name,category,base_price,stock
PROD-0001,Electrohogar Item 1,Electrohogar,1777.94,487
PROD-0002,Hogar Item 2,Hogar,781.93,487
PROD-0003,Electrohogar Item 3,Electrohogar,4036.48,458
PROD-0004,Hogar Item 4,Hogar,751.46,215
PROD-0005,Hogar Item 5,Hogar,664.16,374
PROD-0006,Calzado Item 6,Calzado,470.53,300
PROD-0007,Calzado Item 7,Calzado,204.77,314
PROD-0008,Electrohogar Item 8,Electrohogar,942.95,418
PROD-0009,Electrohogar Item 9,Electrohogar,2298.62,417
PROD-0010,Calzado Item 10,Calzado,433.28,107
PROD-0011,Calzado Item 11,Calzado,210.79,475
PROD-0012,Moda Item 12,Moda,287.45,381
PROD-0013,Hogar Item 13,Hogar,770.7,370
PROD-0014,Moda Item 14,Moda,57.78,275
PROD-0015,Moda Item 15,Moda,121.32,72
PROD-0016,Hogar Item 16,Hogar,381.16,434
PROD-0017,Moda Item 17,Moda,145.7,216
PROD-0018,Electrohogar Item 18,Electrohogar,2095.09,299
PROD-0019,Hogar Item 19,Hogar,605.67,59
PROD-0020,Calzado Item 20,Calzado,343.31,384
PROD-0021,Hogar Item 21,Hogar,1052.39,203
PROD-0022,Hogar Item 22,Hogar,321.49,215
PROD-0023,Hogar Item 23,Hogar,1112.59,245
PROD-0024,Hogar Item 24,Hogar,628.81,12
PROD-0025,Hogar Item 25,Hogar,281.06,66
PROD-0026,Electrohogar Item 26,Electrohogar,4350.9,267
PROD-0027,Electrohogar Item 27,Electrohogar,3369.23,219
PROD-0028,Calzado Item 28,Calzado,154.05,452
PROD-0029,Tecnología Item 29,Tecnología,5977.48,62
PROD-0030,Calzado Item 30,Calzado,430.64,365
PROD-0031,Hogar Item 31,Hogar,312.44,205
PROD-0032,Moda Item 32,Moda,204.96,331
PROD-0033,Hogar Item 33,Hogar,842.51,412
PROD-0034,Calzado Item 34,Calzado,305.19,150
PROD-0035,Moda Item 35,Moda,31.98,76
PROD-0036,Hogar Item 36,Hogar,1153.4,411
PROD-0037,Hogar Item 37,Hogar,1113.44,184
PROD-0038,Tecnología Item 38,Tecnología,1968.75,248
PROD-0039,Calzado Item 39,Calzado,345.86,423
PROD-0040,Calzado Item 40,Calzado,500.14,285
PROD-0041,Electrohogar Item 41,Electrohogar,3825.61,162
PROD-0042,Calzado Item 42,Calzado,556.74,50
PROD-0043,Calzado Item 43,Calzado,438.45,401
PROD-0044,Hogar Item 44,Hogar,321.71,472
PROD-0045,Tecnología Item 45,Tecnología,6777.42,431
PROD-0046,Calzado Item 46,Calzado,568.87,332
PROD-0047,Moda Item 47,Moda,318.95,189
PROD-0048,Electrohogar Item 48,Electrohogar,1278.35,438
PROD-0049,Calzado Item 49,Calzado,156.11,469
PROD-0050,Electrohogar Item 50,Electrohogar,868.67,231
PROD-0051,Hogar Item 51,Hogar,662.71,428
PROD-0052,Electrohogar Item 52,Electrohogar,2940.53,101
PROD-0053,Tecnología Item 53,Tecnología,1021.57,22
PROD-0054,Hogar Item 54,Hogar,1148.29,342
PROD-0055,Moda Item 55,Moda,78.68,160
PROD-0056,Hogar Item 56,Hogar,695.53,474
PROD-0057,Calzado Item 57,Calzado,438.67,480
PROD-0058,Tecnología Item 58,Tecnología,3911.46,242
PROD-0059,Hogar Item 59,Hogar,170.49,306
PROD-0060,Hogar Item 60,Hogar,359.46,213
PROD-0061,Tecnología Item 61,Tecnología,6558.38,401
PROD-0062,Hogar Item 62,Hogar,377.62,210
PROD-0063,Calzado Item 63,Calzado,500.16,266
PROD-0064,Tecnología Item 64,Tecnología,2756.84,490
PROD-0065,Electrohogar Item 65,Electrohogar,2057.39,37
PROD-0066,Electrohogar Item 66,Electrohogar,3835.2,330
PROD-0067,Moda Item 67,Moda,328.99,483
PROD-0068,Electrohogar Item 68,Electrohogar,602.33,243
PROD-0069,Moda Item 69,Moda,248.18,230
PROD-0070,Moda Item 70,Moda,322.38,254
PROD-0071,Calzado Item 71,Calzado,377.24,412
PROD-0072,Tecnología Item 72,Tecnología,1246.46,266
PROD-0073,Tecnología Item 73,Tecnología,3148.53,172
PROD-0074,Calzado Item 74,Calzado,391.07,347
PROD-0075,Electrohogar Item 75,Electrohogar,2689.42,17
PROD-0076,Tecnología Item 76,Tecnología,4601.17,88
PROD-0077,Electrohogar Item 77,Electrohogar,3092.92,476
PROD-0078,Electrohogar Item 78,Electrohogar,2307.28,386
PROD-0079,Tecnología Item 79,Tecnología,3490.12,347
PROD-0080,Electrohogar Item 80,Electrohogar,1016.56,271
PROD-0081,Tecnología Item 81,Tecnología,5540.78,264
PROD-0082,Tecnología Item 82,Tecnología,1290.66,432
PROD-0083,Tecnología Item 83,Tecnología,2851.81,217
PROD-0084,Hogar Item 84,Hogar,505.69,40
PROD-0085,Calzado Item 85,Calzado,238.55,176
PROD-0086,Tecnología Item 86,Tecnología,1991.42,254
PROD-0087,Calzado Item 87,Calzado,229.59,90
PROD-0088,Moda Item 88,Moda,195.71,227
PROD-0089,Electrohogar Item 89,Electrohogar,2609.01,268
PROD-0090,Moda Item 90,Moda,290.98,434
PROD-0091,Tecnología Item 91,Tecnología,1773.08,488
PROD-0092,Electrohogar Item 92,Electrohogar,4014.48,330
PROD-0093,Moda Item 93,Moda,159.97,401
PROD-0094,Tecnología Item 94,Tecnología,6736.15,180
PROD-0095,Tecnología Item 95,Tecnología,2591.57,351
PROD-0096,Hogar Item 96,Hogar,953.29,110
PROD-0097,Electrohogar Item 97,Electrohogar,2983.14,143
PROD-0098,Hogar Item 98,Hogar,905.23,374
PROD-0099,Tecnología Item 99,Tecnología,4074.88,288
PROD-0100,Moda Item 100,Moda,244.17,67
PROD-0101,Electrohogar Item 101,Electrohogar,3626.16,49
PROD-0102,Calzado Item 102,Calzado,169.06,350
